B2,B3,B4,B5,class
483,393,2240,1323,1
506,422,2214,1364,1
513,435,2282,1394,1
583,449,2393,1430,1
764,802,2207,1686,1
478,323,2743,1550,1
432,280,2407,1366,1
417,309,2714,1465,1
388,237,2215,1291,1
328,222,1814,994,1
417,237,2395,1291,1
417,294,2510,1366,1
4196,4246,5177,3870,1
256,246,2094,1332,1
226,231,2067,1332,1
279,212,2230,1433,1
257,220,2169,1296,1
379,337,2415,1498,1
333,307,2124,1273,1
333,278,2402,1398,1
299,265,2533,1471,1
325,291,2382,1498,1
314,265,2096,1383,1
268,250,2096,1308,1
328,294,2297,1358,1
671,571,2671,1592,1
5778,6039,7503,4908,1
438,362,2386,1301,1
3142,3283,4259,2920,1
1400,1362,2606,1391,1
2929,2857,3341,1718,1
5048,4938,5742,3432,1
4365,4373,5311,3069,1
4142,4189,5079,3395,1
5531,5806,6715,4075,1
3850,3793,5254,3654,1
508,484,2535,1565,1
3267,3148,3873,2772,1
445,423,2562,1616,1
851,890,2171,1540,1
381,317,1980,1211,1
